"STATISTIC","Statistic Label","TLIST(M1)","Year","C02342V02816","Dwelling Type","UNIT","VALUE"
"NDM01C01","Monthly New Dwelling Completions","202406","2024 June","-","All house types","Number","2174"
"NDM01C01","Monthly New Dwelling Completions","202406","2024 June","06","Single house","Number","387"
"NDM01C01","Monthly New Dwelling Completions","202406","2024 June","07","Scheme house","Number","1322"
"NDM01C01","Monthly New Dwelling Completions","202406","2024 June","08","Apartment","Number","465"
"NDM01C01","Monthly New Dwelling Completions","202407","2024 July","-","All house types","Number","3003"
"NDM01C01","Monthly New Dwelling Completions","202407","2024 July","06","Single house","Number","467"
"NDM01C01","Monthly New Dwelling Completions","202407","2024 July","07","Scheme house","Number","1358"
"NDM01C01","Monthly New Dwelling Completions","202407","2024 July","08","Apartment","Number","1178"
"NDM01C01","Monthly New Dwelling Completions","202408","2024 August","-","All house types","Number","2501"
"NDM01C01","Monthly New Dwelling Completions","202408","2024 August","06","Single house","Number","399"
"NDM01C01","Monthly New Dwelling Completions","202408","2024 August","07","Scheme house","Number","1423"
"NDM01C01","Monthly New Dwelling Completions","202408","2024 August","08","Apartment","Number","679"
"NDM01C01","Monthly New Dwelling Completions","202409","2024 September","-","All house types","Number","3372"
"NDM01C01","Monthly New Dwelling Completions","202409","2024 September","06","Single house","Number","454"
"NDM01C01","Monthly New Dwelling Completions","202409","2024 September","07","Scheme house","Number","1717"
"NDM01C01","Monthly New Dwelling Completions","202409","2024 September","08","Apartment","Number","1201"
"NDM01C01","Monthly New Dwelling Completions","202410","2024 October","-","All house types","Number","3200"
"NDM01C01","Monthly New Dwelling Completions","202410","2024 October","06","Single house","Number","558"
"NDM01C01","Monthly New Dwelling Completions","202410","2024 October","07","Scheme house","Number","1642"
"NDM01C01","Monthly New Dwelling Completions","202410","2024 October","08","Apartment","Number","1000"
"NDM01C01","Monthly New Dwelling Completions","202411","2024 November","-","All house types","Number","3008"
"NDM01C01","Monthly New Dwelling Completions","202411","2024 November","06","Single house","Number","483"
"NDM01C01","Monthly New Dwelling Completions","202411","2024 November","07","Scheme house","Number","1947"
"NDM01C01","Monthly New Dwelling Completions","202411","2024 November","08","Apartment","Number","578"
"NDM01C01","Monthly New Dwelling Completions","202412","2024 December","-","All house types","Number","2445"
"NDM01C01","Monthly New Dwelling Completions","202412","2024 December","06","Single house","Number","396"
"NDM01C01","Monthly New Dwelling Completions","202412","2024 December","07","Scheme house","Number","1080"
"NDM01C01","Monthly New Dwelling Completions","202412","2024 December","08","Apartment","Number","969"
"NDM01C01","Monthly New Dwelling Completions","202501","2025 January","-","All house types","Number","1533"
"NDM01C01","Monthly New Dwelling Completions","202501","2025 January","06","Single house","Number","305"
"NDM01C01","Monthly New Dwelling Completions","202501","2025 January","07","Scheme house","Number","760"
"NDM01C01","Monthly New Dwelling Completions","202501","2025 January","08","Apartment","Number","468"
"NDM01C01","Monthly New Dwelling Completions","202502","2025 February","-","All house types","Number","1620"
"NDM01C01","Monthly New Dwelling Completions","202502","2025 February","06","Single house","Number","311"
"NDM01C01","Monthly New Dwelling Completions","202502","2025 February","07","Scheme house","Number","778"
"NDM01C01","Monthly New Dwelling Completions","202502","2025 February","08","Apartment","Number","531"
"NDM01C01","Monthly New Dwelling Completions","202503","2025 March","-","All house types","Number","2758"
"NDM01C01","Monthly New Dwelling Completions","202503","2025 March","06","Single house","Number","494"
"NDM01C01","Monthly New Dwelling Completions","202503","2025 March","07","Scheme house","Number","1496"
"NDM01C01","Monthly New Dwelling Completions","202503","2025 March","08","Apartment","Number","768"
"NDM01C01","Monthly New Dwelling Completions","202504","2025 April","-","All house types","Number","2865"
"NDM01C01","Monthly New Dwelling Completions","202504","2025 April","06","Single house","Number","528"
"NDM01C01","Monthly New Dwelling Completions","202504","2025 April","07","Scheme house","Number","1510"
"NDM01C01","Monthly New Dwelling Completions","202504","2025 April","08","Apartment","Number","827"
"NDM01C01","Monthly New Dwelling Completions","202505","2025 May","-","All house types","Number","3263"
"NDM01C01","Monthly New Dwelling Completions","202505","2025 May","06","Single house","Number","506"
"NDM01C01","Monthly New Dwelling Completions","202505","2025 May","07","Scheme house","Number","1684"
"NDM01C01","Monthly New Dwelling Completions","202505","2025 May","08","Apartment","Number","1073"
"NDM01C01","Monthly New Dwelling Completions","202506","2025 June","-","All house types","Number","3028"
"NDM01C01","Monthly New Dwelling Completions","202506","2025 June","06","Single house","Number","451"
"NDM01C01","Monthly New Dwelling Completions","202506","2025 June","07","Scheme house","Number","1449"
"NDM01C01","Monthly New Dwelling Completions","202506","2025 June","08","Apartment","Number","1128"
"NDM01C01","Monthly New Dwelling Completions","202507","2025 July","-","All house types","Number","3030"
"NDM01C01","Monthly New Dwelling Completions","202507","2025 July","06","Single house","Number","531"
"NDM01C01","Monthly New Dwelling Completions","202507","2025 July","07","Scheme house","Number","1478"
"NDM01C01","Monthly New Dwelling Completions","202507","2025 July","08","Apartment","Number","1021"
"NDM01C01","Monthly New Dwelling Completions","202508","2025 August","-","All house types","Number","2841"
"NDM01C01","Monthly New Dwelling Completions","202508","2025 August","06","Single house","Number","446"
"NDM01C01","Monthly New Dwelling Completions","202508","2025 August","07","Scheme house","Number","1456"
"NDM01C01","Monthly New Dwelling Completions","202508","2025 August","08","Apartment","Number","939"
"NDM01C01","Monthly New Dwelling Completions","202509","2025 September","-","All house types","Number","3339"
"NDM01C01","Monthly New Dwelling Completions","202509","2025 September","06","Single house","Number","531"
"NDM01C01","Monthly New Dwelling Completions","202509","2025 September","07","Scheme house","Number","1613"
"NDM01C01","Monthly New Dwelling Completions","202509","2025 September","08","Apartment","Number","1195"
"NDM01C01","Monthly New Dwelling Completions","202510","2025 October","-","All house types","Number","3673"
"NDM01C01","Monthly New Dwelling Completions","202510","2025 October","06","Single house","Number","607"
"NDM01C01","Monthly New Dwelling Completions","202510","2025 October","07","Scheme house","Number","2062"
"NDM01C01","Monthly New Dwelling Completions","202510","2025 October","08","Apartment","Number","1004"
"NDM01C01","Monthly New Dwelling Completions","202511","2025 November","-","All house types","Number","5124"
"NDM01C01","Monthly New Dwelling Completions","202511","2025 November","06","Single house","Number","626"
"NDM01C01","Monthly New Dwelling Completions","202511","2025 November","07","Scheme house","Number","2389"
"NDM01C01","Monthly New Dwelling Completions","202511","2025 November","08","Apartment","Number","2109"
"NDM01C01","Monthly New Dwelling Completions","202512","2025 December","-","All house types","Number","3172"
"NDM01C01","Monthly New Dwelling Completions","202512","2025 December","06","Single house","Number","565"
"NDM01C01","Monthly New Dwelling Completions","202512","2025 December","07","Scheme house","Number","1628"
"NDM01C01","Monthly New Dwelling Completions","202512","2025 December","08","Apartment","Number","979"
"NDM01C01","Monthly New Dwelling Completions","202601","2026 January","-","All house types","Number","2187"
"NDM01C01","Monthly New Dwelling Completions","202601","2026 January","06","Single house","Number","440"
"NDM01C01","Monthly New Dwelling Completions","202601","2026 January","07","Scheme house","Number","1219"
"NDM01C01","Monthly New Dwelling Completions","202601","2026 January","08","Apartment","Number","528"
"NDM01C01","Monthly New Dwelling Completions","202602","2026 February","-","All house types","Number","2812"
"NDM01C01","Monthly New Dwelling Completions","202602","2026 February","06","Single house","Number","497"
"NDM01C01","Monthly New Dwelling Completions","202602","2026 February","07","Scheme house","Number","1396"
"NDM01C01","Monthly New Dwelling Completions","202602","2026 February","08","Apartment","Number","919"
"NDM01C01","Monthly New Dwelling Completions","202603","2026 March","-","All house types","Number","2857"
"NDM01C01","Monthly New Dwelling Completions","202603","2026 March","06","Single house","Number","482"
"NDM01C01","Monthly New Dwelling Completions","202603","2026 March","07","Scheme house","Number","1467"
"NDM01C01","Monthly New Dwelling Completions","202603","2026 March","08","Apartment","Number","908"
